acronym,fullname,school,social,twitterLink,link,size,status,year
RAPM Union,Resident Assistant & Peer Mentor Union,UMass Amherst,@RAPMUnion ,https://twitter.com/RAPMUnion,https://uaw2322.org/ra/,425,Union,2003
KSWOC,Kenyon Student Worker Organizing Committee,Kenyon College,@kswoc ,https://twitter.com/kswoc?lang=en,linktr.ee/kswoc,300,Drive,2020
UGSDW,Union of Grinnell Dining Workers,Grinnell College,@UGSDW ,https://twitter.com/ugsdw/,linktr.ee/ugsdw,340,Union,2016
HUSAW,Hamilton United Student Admissions Workers,Hamilton College,@HUSAW_ ,https://twitter.com/HUSAW_,linktr.ee/ham4studentworkers,65,Union,2021
SWC Dartmouth,Student Worker Collective at Dartmouth,Dartmouth College,@swcdartmouth ,https://twitter.com/swcdartmouth?lang=en,linktr.ee/swcdartmouth,250,Union,2021
WesUSE,Wesleyan Union of Student Employees,Wesleyan University,"@wes.use
@wes_USE ",https://twitter.com/wes_USE,linktr.ee/wes.use,100,Union,2022
CURA Collective,Columbia University Resident Advisors Collective,Columbia University,@cu_racollective ,https://twitter.com/cu_racollective,linktr.ee/cu_racollective,153,Union,2022
Barnard RA Union,Barnard Resident Advisors Union,Barnard College,@barnardraunion,,linktr.ee/barnardraunion,50,Union,2022
MHC Collective,Mount Holyoke College Collective,Mount Holyoke College,@MHCCollective ,https://twitter.com/MHCCollective,https://linktr.ee/mhccollective,65,Union,2022
BRA,Binghamton RAs,Binghamton University,@binghamton.ras,,linktr.ee/b.r.as,200,Drive,2022
Drake SWOC,Drake Student Workers Organizing Committee,Drake University,@drake.swoc ,https://twitter.com/Drake_SWOC,,50,Drive,2022
ASLU,Aggie Student Labor Union,Utah State University,@studentlaborunionusu ,https://twitter.com/AggieLaborUnion,,5000,Drive,2022
UO Student Workers Union,University of Oregon Student Workers Union,University of Oregon,"@uostudentwrkers
@uostudentworkers ",https://twitter.com/uostudentwrkers,uostudentworkers.gitlab.io/,3000,Drive,2022
ULTRA,United Labor of Tufts Resident Assistants,Tufts University,@tuftsraunion ,https://twitter.com/TuftsRAUnion,tuftsraunion.com,100,Union,2022
TALO at Brown,Computer Science Teaching Assistant Labor Organization at Brown University,Brown University,@talabororg ,https://twitter.com/talabororg,talounion.org,330,Union,2022
Fordham RA Union,Fordham Resident Attendants Union,Fordham University,@fordhamraunion,https://www.instagram.com/fordhamraunion/,,100,Union,2022
RPI RA Union,Rensselaer Polytechnic Institute Resident Assistants Union,Rensselaer Polytechnic Institute,"@rpi_ra_union
@rpiraunion ",https://twitter.com/rpi_ra_union?lang=en,linktr.ee/rpi_ra_union,65,Union,2023
HUWU,Harvard Undergraduate Workers Union,Harvard University,@harvarduwu ,https://twitter.com/harvarduwu,,280,Drive,2023
BU ResLife Union,Boston University Residence Life Union,Boston University,@bu_reslifeunion,,,280,Union,2022
TUUWOC,Temple University Undergraduate Workers Organizing Committee,Temple University,@tuuwoc ,https://twitter.com/tuuwoc,linktr.ee/tuuwoc,4100,Drive,2022
WAWU,Western Academic Workers United,Western Washington State University,"@wawuunion 
",https://twitter.com/wawuunion,https://www.wawu-union.org/,1000,Drive,2023
URAP,United RAs at Penn,University of Pennsylvania,@unitedrasatpenn ,https://twitter.com/UnitedRAsatPenn,,200,Drive,2023
NewSWU,New Student Workers Union,New School,@newstudentworkerunion ,https://twitter.com/newstudentswork,linktr.ee/nswu,1500,Drive,2023
SW Columbia,Student Workers of Columbia University ,Columbia University,@sw_columbia ,https://twitter.com/sw_columbia?lang=en,https://www.studentworkersofcolumbia.com/,3000,Union,2016